userIdA,userIdB,JaccardDistance
31447,187640,0.0
6572,72853,0.0
31447,324272,0.0
152186,283573,0.0
41065,281156,0.0
186685,285469,0.0
72440,325638,0.0
245395,286003,0.0
160882,316615,0.0
61505,327856,0.0
59514,314309,0.0
142883,187170,0.0
59514,93116,0.0
144719,193215,0.0
59514,225295,0.0
103431,229693,0.0
262478,298081,0.0
4172,246357,0.0
95460,132919,0.0
178979,285572,0.0
234742,293992,0.0
106429,169126,0.0
33107,202726,0.0
309336,323154,0.0
41037,46593,0.0
45999,182881,0.0
49202,236132,0.0
38678,308246,0.0
65547,238938,0.0
5698,158347,0.0
75023,238221,0.0
88702,249715,0.0
118734,229880,0.0
159751,205370,0.0
116332,287099,0.0
44846,150271,0.0
118259,309486,0.0
156027,303903,0.0
42024,87900,0.0
157462,288245,0.0
42024,194048,0.0
187822,232830,0.0
82699,256465,0.0
219597,246357,0.0
196272,257036,0.0
300126,328505,0.0
165468,288436,0.0
112810,223658,0.0
123012,239696,0.0
151965,155453,0.0
100534,120640,0.0
100084,274290,0.0
92205,310607,0.0
27019,305446,0.0
15633,193657,0.0
62112,98993,0.0
299293,312984,0.0
60729,143809,0.0
21762,89518,0.0
31447,122381,0.0
21762,106678,0.0
207946,209597,0.0
148617,150180,0.0
209123,258533,0.0
80974,104595,0.0
267409,303377,0.0
19605,39329,0.0
154334,211644,0.0
170372,257851,0.0
72692,123083,0.0
131953,274802,0.0
39304,298257,0.0
131953,293132,0.0
49077,298257,0.0
15456,274130,0.0
100994,211895,0.0
74139,167976,0.0
33107,303158,0.0
65112,215890,0.0
49206,255254,0.0
71480,205589,0.0
103350,244189,0.0
111633,325745,0.0
157462,164174,0.0
111633,118245,0.0
187822,283981,0.0
148385,263050,0.0
87512,277497,0.0
205589,297542,0.0
12888,266851,0.0
74738,290896,0.0
152350,181287,0.0
41636,78979,0.0
78766,119818,0.0
199042,222665,0.0
138605,285469,0.0
261344,317533,0.0
38215,237147,0.0
156171,330813,0.0
203856,227969,0.0
