userId,movieId,rating,timestamp,random_value
1,3,4.0,964981247,0.5493941244739317
1,6,4.0,964982224,0.5663462757884278
1,47,5.0,964983815,0.40474106589950287
1,101,5.0,964980868,0.4907640141801415
1,110,4.0,964982176,0.5189406862883281
1,157,5.0,964984100,0.0013284361128281796
1,235,4.0,964980908,0.2446371368208463
1,260,5.0,964981680,0.4181565198109354
1,296,3.0,964982967,0.2718567039950721
1,349,4.0,964982563,0.03464639410004222
1,356,4.0,964980962,0.2595626885301231
1,423,3.0,964982363,0.4437446584827398
1,441,4.0,964980868,0.5954329542337091
1,457,5.0,964981909,0.4909512147371805
1,480,4.0,964982346,0.0976622777885755
1,500,3.0,964981208,0.04838645451915413
1,543,4.0,964981179,0.15487358254921757
1,552,4.0,964982653,0.45910396315346036
1,590,4.0,964982546,0.301042830761884
1,593,4.0,964983793,0.08165738905005249
1,608,5.0,964982931,0.0010783846476116743
1,648,3.0,964982563,0.21310621867388146
1,673,3.0,964981775,0.1938291804122937
1,733,4.0,964982400,0.2696816180318552
1,919,5.0,964982475,0.0744920120028072
1,1009,3.0,964981775,0.2719713614266671
1,1023,5.0,964982681,0.5225976734062173
1,1024,5.0,964982876,0.08482646440870656
1,1025,5.0,964982791,0.5583721609470493
1,1030,3.0,964982903,0.3633577478292984
1,1031,5.0,964982653,0.5376655572494408
1,1032,5.0,964982791,0.04151006523353673
1,1042,4.0,964981179,0.47199733622383944
1,1049,5.0,964982400,0.36828622572724234
1,1060,4.0,964980924,0.10178059683218998
1,1073,5.0,964981680,0.08656679748366125
1,1080,5.0,964981327,0.3149313543563874
1,1089,5.0,964982951,0.12972613661172516
1,1090,4.0,964984018,0.2845445917103818
1,1092,5.0,964983484,0.5236942125588863
1,1127,4.0,964982513,0.11613800990073708
1,1196,5.0,964981827,0.5948084584148354
1,1208,4.0,964983250,0.4650463210122078
1,1214,4.0,964981855,0.1791535590456078
1,1220,5.0,964981909,0.05576141818483027
1,1222,5.0,964981909,0.22342825030051483
1,1224,5.0,964984018,0.3485449792565105
1,1226,5.0,964983618,0.3298113141523368
1,1240,5.0,964983723,0.5770319777794721
1,1265,4.0,964983599,0.5327637976939171
1,1275,5.0,964982290,0.4105468083879297
1,1278,5.0,964983414,0.5532469521248028
1,1291,5.0,964981909,0.24008520910150388
1,1348,4.0,964983393,0.0018118237953539396
1,1396,3.0,964983017,0.5546101853105972
1,1445,3.0,964984112,0.2643720097588652
1,1473,4.0,964980875,0.31789643228711206
1,1517,5.0,964981107,0.46141124486643614
1,1552,4.0,964982620,0.137535633364541
1,1580,3.0,964981125,0.045359009028825614
1,1617,5.0,964982951,0.40203884132120216
1,1625,5.0,964983504,0.19925250837293007
1,1644,3.0,964983536,0.4109126466852421
1,1777,4.0,964981230,0.3017099086030661
1,1793,4.0,964981404,0.02059929633498192
1,1927,5.0,964981497,0.07000066692137119
1,2012,4.0,964984176,0.4236452732363565
1,2018,5.0,964980523,0.44828838332926635
1,2033,5.0,964982903,0.021882793379681353
1,2054,4.0,964981747,0.564845379285019
