userIdA,userIdB,JaccardDistance
32,35883,0.0
32,55181,0.0
32,71690,0.0
32,84047,0.0
32,130852,0.0
32,165473,0.0
32,290077,0.0
47,8182,0.0
47,19126,0.0
47,30403,0.0
47,38669,0.0
47,47033,0.0
47,77618,0.0
47,81753,0.0
47,82924,0.0
47,164361,0.0
47,199185,0.0
47,215796,0.0
47,221493,0.0
47,223838,0.0
47,237656,0.0
47,253373,0.0
47,256684,0.0
47,260423,0.0
47,305650,0.0
47,330557,0.0
158,107199,0.0
158,129659,0.0
158,148103,0.0
158,156205,0.0
158,183097,0.0
158,281545,0.0
158,291021,0.0
287,894,0.0
287,13845,0.0
287,33470,0.0
287,53713,0.0
287,59039,0.0
287,60507,0.0
287,75023,0.0
287,88779,0.0
287,99018,0.0
287,126187,0.0
287,144934,0.0
287,149298,0.0
287,166734,0.0
287,171290,0.0
287,175581,0.0
287,198983,0.0
287,203878,0.0
287,217486,0.0
287,221644,0.0
287,234940,0.0
287,238221,0.0
287,278446,0.0
287,298138,0.0
287,304393,0.0
287,311301,0.0
287,314723,0.0
331,10498,0.0
331,19381,0.0
331,37999,0.0
331,52118,0.0
331,89705,0.0
331,95410,0.0
331,104798,0.0
331,161766,0.0
331,209062,0.0
331,212264,0.0
331,265054,0.0
331,313896,0.0
428,4172,0.0
428,9481,0.0
428,11821,0.0
428,13225,0.0
428,13343,0.0
428,15232,0.0
428,15318,0.0
428,19955,0.0
428,21045,0.0
428,21120,0.0
428,21743,0.0
428,22381,0.0
428,26879,0.0
428,29009,0.0
428,30002,0.0
428,31036,0.0
428,31199,0.0
428,32311,0.0
428,33107,0.0
428,35581,0.0
428,35729,0.0
428,35852,0.0
428,36029,0.0
428,36694,0.0
428,39229,0.0
428,39612,0.0
428,41037,0.0
428,44035,0.0
428,44861,0.0
